simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time	ULTRASAT_efficiency	ULTRASAT_efficiency_err	ULTRASAT_detection	ZTF_efficiency	ZTF_efficiency_err	ZTF_detection	LSST_efficiency	LSST_efficiency_err	LSST_detection
674	1.9395558	0.21499679	0.35565294	828.40766	2.8501212	1.8399985	0.021020075	0.20504273	3.7403860092163086	2.161250114440918	1011415102	74003935	1011415102.056068	0.013	0.0011327400407860578	0	0.0128	0.001124106756496019	0	0.0992	0.0029893035978301036	0
686	6.0604071	-0.47755148	0.2346249	314.45856	1.8172167	1.7684457	0.0009363946	0.15792696	1.388464093208313	2.1310951709747314	1013234487	304788589	1013234487.319946	0.0081	0.0008963475888292443	0	0.0347	0.0018301887880762466	0	0.0346	0.0018276443855411262	0
689	2.1872728	0.64439642	2.3635282	270.94261	1.6639686	1.4741776	0.045166061	-0.26277196	4.468762397766113	-1.388037919998169	1026762868	542015314	1026762868.521118	0.0019	0.0004354756020720334	0	0.0026	0.0005092386473943233	0	0.0344	0.0018225432779497995	0
701	2.2299417	0.66770611	0.65318393	464.68236	2.5479334	1.3779478	0.22379784	-0.11050262	5.654616355895996	1.184727668762207	1017194552	366257787	1017194552.346009	0.0016	0.0003996798718974975	0	0.0013	0.00036032069049667407	0	0.0485	0.0021482027371735658	0
718	4.4922154	-0.030404009	0.31188722	384.18731	2.1356376	2.04481	-0.16730896	0.019378521	0.8624526262283325	2.148607015609741	1030665400	731641769	1030665400.71627	0.0026	0.0005092386473943233	0	0.0024	0.0004893097178679368	0	0.0408	0.001978265907303667	0
725	5.3197008	0.44987752	1.3553502	148.25284	2.3993904	1.8645662	0.0663189	-0.089892777	4.652714729309082	-2.180283784866333	1025428017	170235872	1025428017.150513	0.1143	0.0031817528188091545	1	0.1001	0.0030013328705760047	1	0.4627	0.004986067689071219	1
748	2.7528749	0.22949971	0.80241344	458.07706	2.8066868	1.909754	0.21870034	0.044507381	4.510679244995117	-0.9167287945747375	1028909410	273586988	1028909410.268436	0.007	0.0008337265738837884	0	0.0071	0.0008396183656876498	0	0.1288	0.0033497844706786733	0
767	3.7892828	0.79142853	2.0095681	568.69015	2.1983039	1.5168323	-0.042964983	0.21509245	1.2756061553955078	3.044933795928955	1016015776	816635847	1016015776.796532	0.0026	0.0005092386473943233	0	0.0011	0.00033148001448051134	0	0.1507	0.0035775621587891384	0
775	4.1521491	0.78223604	2.5512574	407.38584	2.7100275	1.8151372	-0.18127393	-0.24788615	3.0310912132263184	-2.8041787147521973	1017411864	935262442	1017411864.919665	0.0366	0.0018777763445096437	0	0.1855	0.003887026498494704	0	0.1165	0.0032082354963437454	0
781	4.6767594	-0.55385234	2.2643729	165.43395	1.3361079	1.3215358	-0.026658968	0.039451194	1.5052611827850342	1.0982030630111694	1028053246	321388	1028053246.016479	0.0123	0.0011022118671108563	0	0.0583	0.0023430985894750565	0	0.075	0.002633913438213185	0
782	1.0604796	-0.73797748	0.52439052	430.74802	1.832567	1.524651	-0.24306023	0.019187084	5.863016605377197	-1.3430308103561401	1001030826	322240353	1001030826.342308	0.0166	0.0012776713192366807	0	0.0192	0.0013722740251130602	0	0.1267	0.0033263660351801334	0
790	5.7863903	0.85619391	2.0043294	242.48207	2.5510334	1.8960097	0.017934765	0.037752775	5.802387237548828	0.4360086917877197	1025523646	81713200	1025523646.062387	0.0379	0.0019095441864486929	0	0.023	0.0014990330216509574	0	0.5862	0.0049251351250498695	0
817	0.22449393	-1.0617218	1.7159071	151.9588	1.8224966	1.7276702	0.089548815	0.11654343	3.600769519805908	-2.293947458267212	1030145907	805175662	1030145907.824399	0.003	0.0005469003565550127	0	0.2485	0.004321432054307924	0	0.6698	0.0047028497743389595	1
833	5.0307377	0.2230838	2.6239343	140.6041	2.6884676	1.7664393	-0.12964514	-0.1413006	0.9921470880508423	2.004126787185669	1000491950	10335565	1000491950.012451	0.0014	0.0003739037309254884	0	0.056	0.0022992172581119863	0	0.0735	0.0026095545596902165	0
